Order_ID,Product,Vendor,Region,Country,Shipment_Mode,Order_Value_USD,Country_Risk_Index,Risk_Reason_Geo,Natural_Disaster_Risk,Climate_Zone_Detail,Supplier_Credit_Rating,Financial_Risk_Reason,DPO_Impact_Days,Cost_Competitiveness,Is_Late,Delay_Days,Delay_Root_Cause,Order_Accuracy_Rate,Capacity_Utilization,Defect_Rate,Defect_Flag,Defect_Root_Cause,Audit_Status,Regulatory_Compliance,ESG_Score,Responsiveness_Score,Innovation_Index,Collaboration_Index,Relationship_Issue
PO-20240026,Raw Cotton,Asia_Tech_3,Region_Asia_Pacific,India,Air,286582,20,,Low,Safe Zone,BB,High Debt Ratio,47,102,0,0,On Time,96,54,0.0166977879028476,0,Perfect,Pending,Pass,61,71,4.2,8.1,Good Standing
PO-20240027,Soybeans,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,268106,79,Civil Unrest,High,Flood Plain,A,Stable,62,110,1,5,Customs Hold,97,54,0.0332561125440556,1,Mold,Pending,Pass,80,104,6.0,6.6,Good Standing
PO-20240028,Steel Rolls,Euro_Ind_2,Region_EU_Central,Sweden,Air,143408,9,,Low,Safe Zone,BBB,Stable,63,95,0,0,On Time,100,64,0.0220244039029181,0,Perfect,Certified,Pass,67,93,6.7,8.2,Good Standing
PO-20240029,Raw Materials,US_Supply_Co_3,Region_US_East,Canada,Air,65772,21,,Low,Safe Zone,A,Stable,67,96,0,0,On Time,96,69,0.0347914151652345,1,General Defect,Pending,Pass,64,90,6.7,8.6,Good Standing
PO-20240030,Iron Ore,LatAm_Logistics_2,Region_LatAm_South,Brazil,Air,48208,67,Sanctions,Low,Safe Zone,A,Stable,43,100,1,19,Machinery Breakdown,97,73,0.0059226951523733,0,Perfect,Certified,Pass,68,92,4.5,5.8,Good Standing
PO-20240031,Coffee Beans,LatAm_Logistics_2,Region_LatAm_South,Brazil,Sea,35416,76,Port Strike,High,Earthquake Fault,A,Stable,33,98,1,4,Labor Strike,97,48,0.0163918949389993,0,Perfect,Certified,Pass,61,79,7.4,4.6,Good Standing
PO-20240032,Raw Materials,US_Supply_Co_3,Region_US_East,Canada,Air,106818,18,,Low,Safe Zone,BB,Pending Lawsuit,38,97,0,0,On Time,94,56,0.0122941366316791,0,Perfect,Certified,Pass,79,79,4.3,8.2,Good Standing
PO-20240033,Gold/Silver,LatAm_Logistics_4,Region_LatAm_South,Peru,Air,388887,71,Port Strike,High,Monsoon Region,AAA,Stable,77,105,0,0,On Time,94,37,0.0243065026402652,0,Perfect,Pending,Fail,53,102,8.5,6.6,Good Standing
PO-20240034,Soybeans,LatAm_Logistics_1,Region_LatAm_South,Argentina,Air,384259,63,Trade Tariffs,Low,Safe Zone,BBB,Stable,73,84,0,0,On Time,96,54,0.0216980375403423,0,Perfect,Certified,Pass,65,75,2.8,2.9,Management Change
PO-20240035,Bananas/Fruit,US_Supply_Co_1,Region_US_East,Costa Rica,Land,73052,0,,Low,Safe Zone,AAA,Stable,75,95,0,0,On Time,97,63,0.0065914872725034,0,Perfect,Certified,Pass,65,81,1.6,5.8,Good Standing
PO-20240036,Seafood,US_Supply_Co_4,Region_US_East,Panama,Land,235387,9,,Low,Safe Zone,A,Stable,76,96,0,0,On Time,98,65,0.0174605849014634,0,Perfect,Certified,Pass,66,75,2.6,8.3,Good Standing
PO-20240037,Oil/Petroleum,Afro_Trade_2,Region_Africa_West,Cameroon,Sea,206419,91,Port Strike,High,Wildfire Zone,BBB,Stable,65,98,0,0,On Time,96,73,0.0112493870508197,0,Perfect,Certified,Pass,80,81,4.8,5.3,Good Standing
PO-20240038,Consumer Electronics,US_Supply_Co_5,Region_US_East,Mexico,Land,150136,7,,Low,Safe Zone,A,Stable,73,102,1,6,Port Congestion,99,74,0.0162959239373057,0,Perfect,Certified,Pass,100,87,4.5,4.8,Good Standing
PO-20240039,Industrial Machinery,Euro_Ind_2,Region_EU_Central,Germany,Air,257174,18,,Low,Safe Zone,BBB,Stable,47,101,1,6,Port Congestion,100,51,0.0243080758292188,0,Perfect,Certified,Pass,80,79,7.3,9.9,Good Standing
PO-20240040,Industrial Machinery,Euro_Ind_1,Region_EU_Central,Germany,Air,142116,24,,Low,Safe Zone,BB,Merger Uncertainty,63,108,0,0,On Time,96,70,0.0245369351942297,0,Perfect,Certified,Pass,61,87,4.8,4.1,Good Standing
PO-20240041,Cocoa Beans,Afro_Trade_3,Region_Africa_West,Nigeria,Sea,434176,99,Trade Tariffs,High,Typhoon Belt,AA,Stable,62,97,1,10,Customs Hold,100,72,0.0043383986204597,0,Perfect,Certified,Pass,67,85,9.1,3.5,Management Change
PO-20240042,Coffee Beans,Afro_Trade_3,Region_Africa_West,Ivory Coast,Air,272699,82,Trade Tariffs,High,Earthquake Fault,A,Stable,47,112,0,0,On Time,97,59,0.0217785676458251,0,Perfect,Pending,Pass,93,64,7.2,5.4,Good Standing
PO-20240043,Raw Materials,US_Supply_Co_1,Region_US_East,Canada,Air,333246,31,,Low,Safe Zone,A,Stable,39,104,0,0,On Time,98,54,0.0242145395570972,0,Perfect,Certified,Pass,81,117,1.8,3.6,Contract Dispute
PO-20240044,Wine/Beverage,Euro_Ind_1,Region_EU_Central,France,Sea,453717,2,,Low,Safe Zone,A,Stable,48,92,0,0,On Time,97,52,0.0023420066188447,0,Perfect,Certified,Pass,73,79,5.8,4.6,Good Standing
PO-20240045,Gold/Silver,LatAm_Logistics_1,Region_LatAm_South,Peru,Air,497406,75,Civil Unrest,High,Wildfire Zone,A,Stable,48,94,0,0,On Time,94,83,0.0130474555686732,0,Perfect,Certified,Pass,69,95,6.2,3.1,Pricing Conflict
PO-20240046,Robotics,Asia_Tech_4,Region_Asia_Pacific,Japan,Air,378878,34,,Low,Safe Zone,A,Stable,77,98,0,0,On Time,99,62,0.012951445362425,0,Perfect,Certified,Pass,51,98,5.1,5.1,Good Standing
PO-20240047,Corn/Wheat,US_Supply_Co_4,Region_US_East,USA,Air,255485,18,,Low,Safe Zone,AA,Stable,79,107,0,0,On Time,98,58,0.0094497185726677,0,Perfect,Certified,Pass,69,81,8.0,6.9,Good Standing
PO-20240048,Electronics,Asia_Tech_5,Region_Asia_Pacific,Vietnam,Sea,380413,34,,Low,Safe Zone,BB,Merger Uncertainty,43,104,0,0,On Time,98,74,0.0107522623188412,0,Perfect,Certified,Pass,64,80,5.6,2.7,Pricing Conflict
PO-20240049,Iron Ore,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,210324,72,Border Closure,High,Monsoon Region,AAA,Stable,72,99,0,0,On Time,93,54,0.0010082325629862,0,Perfect,Certified,Pass,98,85,9.9,2.1,Contract Dispute
PO-20240050,Copper,LatAm_Logistics_2,Region_LatAm_South,Peru,Air,164504,74,Civil Unrest,High,Flood Plain,A,Stable,61,96,1,3,Port Congestion,96,64,0.0014927095380634,0,Perfect,Certified,Pass,70,98,4.0,2.2,Pricing Conflict
PO-20240051,Crude Oil,Afro_Trade_3,Region_Africa_West,Nigeria,Air,136632,100,Port Strike,High,Typhoon Belt,A,Stable,89,103,0,0,On Time,100,72,0.0354453858921211,1,Water Content High,Pending,Pass,52,89,2.1,1.1,Contract Dispute
PO-20240052,Iron Ore,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,444047,57,,Low,Safe Zone,BB,Merger Uncertainty,88,90,0,0,On Time,100,40,0.0170941771626059,0,Perfect,Certified,Pass,78,82,7.8,2.7,Management Change
PO-20240053,Auto Parts,Euro_Ind_5,Region_EU_Central,Poland,Air,55651,31,,Low,Safe Zone,BB,Pending Lawsuit,43,100,0,0,On Time,100,64,0.0185761991422949,0,Perfect,Certified,Pass,81,94,7.1,3.0,Slow Response
PO-20240054,Oil/Petroleum,LatAm_Logistics_2,Region_LatAm_South,Colombia,Air,250011,81,Port Strike,High,Earthquake Fault,AA,Stable,44,100,0,0,On Time,98,69,0.039054091819813,1,General Defect,Pending,Pass,60,107,8.6,2.0,Contract Dispute
PO-20240055,Garden & Patio,US_Supply_Co_3,Region_US_East,USA,Air,342573,0,,Low,Safe Zone,AA,Stable,39,108,1,7,Port Congestion,100,57,0.0239192511590809,0,Perfect,Certified,Pass,63,70,4.5,8.9,Good Standing
PO-20240056,Cocoa Beans,Afro_Trade_1,Region_Africa_West,Nigeria,Air,299597,83,Port Strike,High,Monsoon Region,A,Stable,47,100,1,18,Customs Hold,96,43,0.002326270511261,0,Perfect,Certified,Pass,66,80,4.6,9.9,Good Standing
PO-20240057,Fruit,LatAm_Logistics_3,Region_LatAm_South,Chile,Sea,447125,63,Sanctions,Low,Safe Zone,BB,Credit Downgrade,57,95,1,18,Raw Material Shortage,100,74,0.0051074527422983,0,Perfect,Certified,Pass,65,55,3.4,3.6,Management Change
PO-20240058,Cocoa Beans,Afro_Trade_1,Region_Africa_West,Nigeria,Sea,403426,100,Civil Unrest,High,Flood Plain,BBB,Stable,53,97,1,13,Labor Strike,94,50,0.0096750486031904,0,Perfect,Certified,Pass,70,83,2.4,1.3,Slow Response
PO-20240059,Plastic Resins,US_Supply_Co_1,Region_US_East,Mexico,Air,197633,0,,Low,Safe Zone,A,Stable,66,99,0,0,On Time,98,57,0.0012722623106529,0,Perfect,Certified,Pass,71,76,6.0,4.6,Good Standing
PO-20240060,Coffee Beans,Asia_Tech_5,Region_Asia_Pacific,Vietnam,Sea,406564,62,Port Strike,Low,Safe Zone,A,Stable,71,97,0,0,On Time,99,47,0.0201236740050822,0,Perfect,Certified,Pass,75,92,4.3,6.8,Good Standing
PO-20240061,Food & Grocery,US_Supply_Co_4,Region_US_East,Mexico,Land,433153,11,,Low,Safe Zone,C,High Debt Ratio,59,103,0,0,On Time,96,58,0.0160203474359538,0,Perfect,Certified,Pass,68,68,5.8,6.9,Good Standing
PO-20240062,Agri Products,Euro_Ind_3,Region_EU_Central,Spain,Sea,279472,8,,Low,Safe Zone,AAA,Stable,49,101,0,0,On Time,96,69,0.0200091097696711,0,Perfect,Certified,Pass,77,74,4.6,9.8,Good Standing
PO-20240063,Textiles,Asia_Tech_3,Region_Asia_Pacific,Vietnam,Sea,464525,36,,Low,Safe Zone,A,Stable,46,107,0,0,On Time,95,51,0.0196246744429339,0,Perfect,Certified,Pass,99,91,8.7,4.0,Good Standing
PO-20240064,Auto Parts,Asia_Tech_6,Region_Asia_Pacific,Japan,Sea,323979,52,,Low,Safe Zone,BB,Pending Lawsuit,47,103,0,0,On Time,99,71,0.010294531943064,0,Perfect,Certified,Pass,81,89,7.8,5.3,Good Standing
PO-20240065,Fish/Seafood,Afro_Trade_2,Region_Africa_West,Senegal,Air,490117,73,Civil Unrest,High,Earthquake Fault,AA,Stable,69,101,1,4,Machinery Breakdown,99,51,0.0064246468790754,0,Perfect,Certified,Pass,76,95,2.2,3.8,Management Change
PO-20240066,Fish/Seafood,Afro_Trade_3,Region_Africa_West,Senegal,Sea,43826,98,Sanctions,High,Wildfire Zone,A,Stable,57,106,1,15,Customs Hold,99,68,0.0224739319530123,0,Perfect,Certified,Pass,101,90,4.9,9.6,Good Standing
PO-20240067,Flowers/Agri,Euro_Ind_4,Region_EU_Central,Netherlands,Air,26447,28,,Low,Safe Zone,AAA,Stable,71,104,0,0,On Time,96,75,0.0187557101447382,0,Perfect,Pending,Pass,98,76,4.9,5.4,Good Standing
PO-20240068,Industrial Machinery,Euro_Ind_5,Region_EU_Central,Italy,Sea,400932,39,,Low,Safe Zone,A,Stable,70,92,0,0,On Time,100,48,0.0193817984274463,0,Perfect,Certified,Pass,79,92,2.8,9.8,Good Standing
PO-20240069,Coffee Beans,Afro_Trade_2,Region_Africa_West,Ivory Coast,Sea,229434,80,Civil Unrest,High,Monsoon Region,BBB,Stable,38,98,1,4,Customs Hold,97,49,0.0160324676622595,0,Perfect,Certified,Pass,88,78,4.9,5.9,Good Standing
PO-20240070,Steel Rolls,Euro_Ind_4,Region_EU_Central,Germany,Sea,246915,37,,Low,Safe Zone,AA,Stable,80,93,0,0,On Time,96,78,0.0248669887319399,0,Perfect,Certified,Pass,90,77,9.1,2.1,Pricing Conflict
PO-20240071,Electronics,Asia_Tech_1,Region_Asia_Pacific,Vietnam,Sea,308149,29,,Low,Safe Zone,AA,Stable,70,103,1,16,Labor Strike,97,70,0.005641344505416,0,Perfect,Certified,Pass,83,94,9.5,3.8,Lack of Transparency
PO-20240072,Auto Parts,Euro_Ind_5,Region_EU_Central,Spain,Air,152245,15,,Low,Safe Zone,BBB,Stable,59,101,0,0,On Time,94,69,0.0196687225171606,0,Perfect,Certified,Pass,47,91,3.4,1.3,Pricing Conflict
PO-20240073,Cocoa Beans,Afro_Trade_2,Region_Africa_West,Ghana,Air,346971,71,Port Strike,High,Wildfire Zone,BBB,Stable,38,97,1,18,Labor Strike,98,81,0.0114312325998154,0,Perfect,Certified,Pass,81,81,5.6,6.6,Good Standing
PO-20240074,Corn/Wheat,LatAm_Logistics_2,Region_LatAm_South,Argentina,Sea,205152,60,,Low,Safe Zone,A,Stable,74,101,0,0,On Time,100,75,0.0194364136919561,0,Perfect,Certified,Pass,62,113,5.0,7.5,Good Standing
PO-20240075,Copper,LatAm_Logistics_4,Region_LatAm_South,Peru,Air,262197,76,Sanctions,High,Monsoon Region,A,Stable,74,102,1,10,Labor Strike,99,72,0.0191143198193339,0,Perfect,Certified,Pass,80,69,2.5,7.6,Good Standing
PO-20240076,Agri Products,Euro_Ind_1,Region_EU_Central,Spain,Air,240386,18,,Low,Safe Zone,AA,Stable,48,92,0,0,On Time,99,60,0.007081701903691,0,Perfect,Certified,Pass,44,92,8.1,9.7,Good Standing
PO-20240077,Corn/Wheat,US_Supply_Co_2,Region_US_East,USA,Air,246308,6,,Low,Safe Zone,BBB,Stable,36,103,0,0,On Time,100,41,0.0063559875593306,0,Perfect,Certified,Pass,69,77,5.6,4.7,Good Standing
PO-20240078,Coffee Beans,Asia_Tech_6,Region_Asia_Pacific,Vietnam,Sea,364643,48,,Low,Safe Zone,C,High Debt Ratio,72,97,0,0,On Time,97,49,0.0113547223768133,0,Perfect,Certified,Pass,82,82,3.9,2.2,Lack of Transparency
PO-20240079,Consumer Electronics,Asia_Tech_3,Region_Asia_Pacific,South Korea,Sea,160868,37,,Low,Safe Zone,AA,Stable,78,98,1,15,Machinery Breakdown,93,52,0.0625580064358204,1,Battery Drain,Failed,Pass,77,87,8.3,6.9,Good Standing
PO-20240080,Precision Parts,US_Supply_Co_3,Region_US_East,USA,Air,452844,12,,Low,Safe Zone,AAA,Stable,45,104,0,0,On Time,93,66,0.0085037128672703,0,Perfect,Certified,Pass,77,92,7.3,5.2,Good Standing
PO-20240081,Industrial Machinery,Euro_Ind_2,Region_EU_Central,Germany,Air,132665,30,,Low,Safe Zone,C,Pending Lawsuit,81,101,0,0,On Time,99,67,0.0082899667159804,0,Perfect,Certified,Pass,58,64,3.0,6.4,Good Standing
PO-20240082,Gold/Diamonds,Afro_Trade_1,Region_Africa_West,Ghana,Air,402400,83,Border Closure,High,Monsoon Region,A,Stable,76,105,1,17,Labor Strike,97,46,0.0055074152905061,0,Perfect,Certified,Pass,69,71,2.7,9.6,Good Standing
PO-20240083,Copper,LatAm_Logistics_2,Region_LatAm_South,Peru,Air,88719,80,Port Strike,High,Typhoon Belt,BBB,Stable,56,101,1,12,Machinery Breakdown,95,41,0.0676539599489256,1,Oxidation,Failed,Pass,81,90,5.4,3.9,Lack of Transparency
PO-20240084,Microchips,Asia_Tech_2,Region_Asia_Pacific,Malaysia,Sea,52288,48,,Low,Safe Zone,AA,Stable,60,92,1,5,Port Congestion,97,63,0.0230568931971336,0,Perfect,Certified,Pass,80,94,9.8,4.5,Good Standing
PO-20240085,Auto Parts,US_Supply_Co_3,Region_US_East,Canada,Air,304214,0,,Low,Safe Zone,A,Stable,48,101,0,0,On Time,97,47,0.0087887214945498,0,Perfect,Certified,Pass,61,101,3.1,7.0,Good Standing
PO-20240086,Auto Parts,US_Supply_Co_1,Region_US_East,Canada,Air,23624,1,,Low,Safe Zone,AA,Stable,30,94,1,10,Customs Hold,99,46,0.0025120557151789,0,Perfect,Certified,Pass,85,104,4.7,3.8,Lack of Transparency
PO-20240087,Microchips,Asia_Tech_5,Region_Asia_Pacific,South Korea,Air,300047,36,,Low,Safe Zone,BBB,Stable,68,95,0,0,On Time,94,78,0.0157547697257008,0,Perfect,Pending,Pass,52,97,7.0,1.6,Contract Dispute
PO-20240088,Furniture,Euro_Ind_2,Region_EU_Central,Poland,Sea,152695,15,,Low,Safe Zone,C,Pending Lawsuit,59,100,0,0,On Time,96,67,0.0088061977170244,0,Perfect,Certified,Pass,59,89,7.5,7.0,Good Standing
PO-20240089,Raw Materials,US_Supply_Co_1,Region_US_East,Canada,Land,90396,21,,Low,Safe Zone,AA,Stable,35,86,0,0,On Time,97,38,0.022480071729836,0,Perfect,Certified,Pass,73,112,4.1,1.0,Pricing Conflict
PO-20240090,Seafood,US_Supply_Co_5,Region_US_East,Panama,Land,90044,0,,Low,Safe Zone,BBB,Stable,73,103,1,10,Machinery Breakdown,98,57,0.0245585710446166,0,Perfect,Certified,Pass,80,87,7.8,9.1,Good Standing
PO-20240091,Steel Rolls,Euro_Ind_2,Region_EU_Central,Germany,Sea,256338,14,,Low,Safe Zone,AA,Stable,66,96,1,17,Customs Hold,93,56,0.0216365970094631,0,Perfect,Certified,Pass,74,94,8.4,6.7,Good Standing
PO-20240092,Precision Parts,US_Supply_Co_3,Region_US_East,USA,Land,25622,25,,Low,Safe Zone,C,Pending Lawsuit,33,100,1,10,Machinery Breakdown,98,63,0.0010730044854049,0,Perfect,Certified,Pass,64,90,9.7,3.1,Slow Response
PO-20240093,Textiles,Asia_Tech_1,Region_Asia_Pacific,Vietnam,Air,472153,62,Civil Unrest,Low,Safe Zone,A,Stable,44,94,0,0,On Time,100,80,0.0081832704056334,0,Perfect,Certified,Pass,91,79,3.6,1.8,Contract Dispute
PO-20240094,Cocoa Beans,Afro_Trade_2,Region_Africa_West,Cameroon,Air,147498,68,Trade Tariffs,Low,Safe Zone,AA,Stable,79,93,1,13,Customs Hold,97,59,0.0008741982641488,0,Perfect,Certified,Pass,78,69,5.2,4.0,Good Standing
PO-20240095,Medical Devices,US_Supply_Co_2,Region_US_East,USA,Land,189910,11,,Low,Safe Zone,A,Stable,68,95,1,19,Port Congestion,100,56,0.0024177107692184,0,Perfect,Certified,Pass,53,89,6.1,1.7,Slow Response
PO-20240096,Fish/Seafood,Afro_Trade_3,Region_Africa_West,Senegal,Sea,234125,75,Civil Unrest,High,Typhoon Belt,AA,Stable,38,100,1,7,Raw Material Shortage,99,77,0.0204157965793844,0,Perfect,Certified,Pass,58,63,3.5,4.9,Good Standing
PO-20240097,Rubber,Afro_Trade_2,Region_Africa_West,Ivory Coast,Air,84676,88,Civil Unrest,High,Typhoon Belt,BBB,Stable,89,96,0,0,On Time,100,76,0.0141042036405832,0,Perfect,Certified,Pass,80,83,7.8,3.3,Management Change
PO-20240098,Auto Parts,Euro_Ind_1,Region_EU_Central,Spain,Air,364666,34,,Low,Safe Zone,BB,High Debt Ratio,37,100,0,0,On Time,98,69,0.0068785429718303,0,Perfect,Certified,Pass,84,80,8.8,4.9,Good Standing
PO-20240099,Fish/Seafood,Afro_Trade_2,Region_Africa_West,Senegal,Air,436444,92,Border Closure,High,Earthquake Fault,C,Liquidity Crisis,67,92,0,0,On Time,95,57,0.0105535803699059,0,Perfect,Certified,Pass,79,91,6.9,9.4,Good Standing
PO-20240100,Microchips,Asia_Tech_3,Region_Asia_Pacific,Japan,Air,236927,26,,Low,Safe Zone,BBB,Stable,60,99,1,14,Raw Material Shortage,99,70,0.0162490116083738,0,Perfect,Certified,Pass,96,72,1.7,7.0,Good Standing
PO-20240101,Rubber,Asia_Tech_3,Region_Asia_Pacific,Malaysia,Air,489498,30,,Low,Safe Zone,A,Stable,80,101,0,0,On Time,100,65,0.0130429275866996,0,Perfect,Certified,Pass,74,80,1.8,5.3,Good Standing
PO-20240102,Steel Rolls,Asia_Tech_5,Region_Asia_Pacific,China,Sea,311909,26,,Low,Safe Zone,A,Stable,35,91,0,0,On Time,96,53,0.020678979973596,0,Perfect,Certified,Pass,111,95,1.2,7.8,Good Standing
PO-20240103,Plastic Resins,US_Supply_Co_3,Region_US_East,Mexico,Air,404393,25,,Low,Safe Zone,A,Stable,88,105,0,0,On Time,98,63,0.0172732267579883,0,Perfect,Certified,Pass,87,81,7.8,8.6,Good Standing
